0,ベートーヴェンの交響曲第9番初演（1824年）
1,樺太・千島交換条約調印（1875年）
2,ルシタニア号事件（1915年）
3,パリ講和会議で赤道以北の旧ドイツ領南洋諸島を日本が委任統治することに決定（1919年）
4,ポール・ドゥメール暗殺（1932年）
5,粛軍演説（1936年）
6,珊瑚海海戦（1942年）
7,第二次世界大戦：ドイツ国防軍代表が連合国軍に対する無条件降伏文書に署名。翌8日に批准・発効（1945年）
8,ディエンビエンフーの戦い終結（1954年）
9,ギニアビサウ内戦（英語版）: ギニア・ビサウ大統領ジョアン・ヴィエイラが退陣し、ポルトガル大使館へ避難（1999年）
